Šifra artikla,EAN,Cena B2B,Cena B2C,DDV,VID trenutna zaloga,VID naročena količina,VID količina za odpremo,VID razpoložljiva količina,VID naročena količina dobaviteljem,Dobavitelj zaloga,Dobavitelj naročena zaloga,Dobavitelj datum,Skladišče,Rabatna skupina artikla,Rabatna skupina ERP,Popust odprodaje %
BA.BP07.10380,5949097746871,28.89,28.89,22,22,0,0,22,0,419,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.10381,5949097746888,28.89,28.89,22,35,0,0,35,0,860,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.10387,5949097746895,34.44,34.44,22,21,0,0,21,0,559,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.10480,5949097746901,44.89,44.89,22,14,0,0,14,0,389,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.10481,5949097746918,44.89,44.89,22,15,0,0,15,0,510,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.10487,5949097746925,50.56,50.56,22,13,0,0,13,0,350,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.20280,5949097749612,18.78,18.78,22,143,0,0,143,0,1137,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.20281,5949097749629,18.78,18.78,22,80,0,0,80,0,1260,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.20380,5949097749636,25.78,25.78,22,86,0,0,86,0,1230,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP07.20381,5949097749643,25.78,25.78,22,127,0,0,127,0,1401,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BP16.99030,5949097714214,13.1,13.1,22,47,0,0,47,0,1220,,,Glavno skladišče Rakovnik 9a + Glavno skladišče Brnčičeva 13,BA2,BA2,0
BA.BP16.99040,5949097707742,10.2,10.2,22,44,0,0,44,0,1018,,,Glavno skladišče Rakovnik 9a + Glavno skladišče Brnčičeva 13,BA2,BA2,0
BA.BP16.99050,5949097714221,2.57,2.57,22,,,,,,750,,,,BA2,BA2,0
BA.BP16.99060,5949097722226,4.42,4.42,22,,,,,,0,,,,BA2,BA2,0
BA.BT25.00172,5949097721311,23.89,23.89,22,,,,,,,,,,BA,BA,0
BA.BT25.00231,5949097747076,8.89,8.89,22,22,0,0,22,0,519,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BT25.00351,5949097709999,8.76,8.76,22,16,0,0,16,0,10956,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BT60.33011,5949097731006,11.83,11.83,22,6,0,0,6,0,380,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BT60.45031,5949097728853,28.67,28.67,22,,,,,,,,,,BA,BA,0
BA.BT60.51080,5949097739576,9.06,9.06,22,42,0,0,42,0,1494,,,Glavno skladišče Rakovnik 9a,BA,BA,0
BA.BT60.52080,5949097739583,11.67,11.67,22,22,0,0,22,0,1480,,,Glavno skladišče Rakovnik 9a,BA,BA,0
